yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T19:30:00.000Z, 90.547767, 90.970371, 93.827709, 89.916566, 90.138292, 88.920058, 85.207711, 80.826338, 79.867772, 79.094634, 79.054940, 80.073115, 80.280539, 83.150478, 84.635215, 85.290979, 84.215163, 82.886702, 81.606503, 78.688647, 75.935733, 73.708014, 69.650451
2023-03-11T19:32:00.000Z, 88.991789, 89.528003, 92.753144, 88.346221, 90.251844, 88.783258, 84.774713, 79.576658, 77.199300, 77.086928, 77.668304, 79.518367, 78.647138, 79.197026, 79.172835, 79.861272, 78.285022, 77.683407, 76.288186, 72.895642, 69.725965, 68.306297, 65.020991
2023-03-11T19:34:00.000Z, 88.151436, 89.394928, 93.619070, 89.852879, 91.865892, 90.319128, 84.728079, 81.250987, 80.306624, 79.002508, 78.283003, 79.237956, 77.980987, 78.078576, 77.721913, 77.543245, 76.518009, 74.881900, 73.200127, 70.817531, 68.631955, 67.793059, 64.778167
2023-03-11T19:36:00.000Z, 87.487039, 86.618331, 90.455104, 87.637373, 87.610783, 86.254898, 82.328112, 80.239495, 78.538345, 77.456387, 76.942385, 77.638894, 76.825918, 77.150473, 76.600248, 75.524872, 74.483826, 73.014557, 71.819324, 69.903606, 68.385195, 68.061740, 65.144637
2023-03-11T19:38:00.000Z, 85.310607, 86.255459, 88.892900, 84.995797, 86.589623, 84.916877, 80.724036, 78.808183, 77.108143, 76.713200, 76.205963, 76.204269, 76.173653, 76.147317, 76.170089, 75.226447, 73.637293, 72.303470, 71.193581, 69.308056, 68.243586, 68.016453, 65.210822
2023-03-11T19:40:00.000Z, 86.390042, 85.469863, 87.443434, 83.967098, 83.979115, 82.564828, 80.368657, 79.304088, 76.554965, 75.772581, 75.375377, 75.936472, 75.238918, 75.207286, 75.310614, 74.754457, 73.820690, 72.331749, 71.073936, 69.059696, 67.966011, 67.875591, 65.056429
2023-03-11T19:42:00.000Z, 84.919500, 84.758903, 86.287650, 83.040787, 82.957978, 81.355409, 78.759996, 78.272732, 76.277228, 75.408344, 75.027709, 75.099089, 74.967282, 75.307682, 75.030699, 74.338369, 73.311130, 71.983263, 70.750440, 68.850061, 67.756455, 67.610875, 64.885965
2023-03-11T19:44:00.000Z, 83.015624, 81.987552, 81.279989, 80.204825, 80.431147, 79.292705, 78.178522, 78.017332, 75.677605, 75.267967, 74.901843, 74.187216, 73.623072, 73.289714, 73.400226, 72.645455, 71.867342, 71.035286, 70.029217, 68.352320, 67.511439, 67.430163, 64.680899
2023-03-11T19:46:00.000Z, 82.190172, 80.941167, 78.611018, 79.090743, 79.584936, 77.939117, 77.045428, 78.086524, 75.493007, 74.873379, 74.308296, 73.704944, 73.222513, 72.663078, 72.913419, 72.245841, 71.486876, 70.528918, 69.616039, 68.047519, 67.201387, 67.251059, 64.434234
2023-03-11T19:48:00.000Z, 82.628507, 80.681400, 78.426973, 78.599453, 78.516604, 78.054169, 76.943106, 76.418929, 75.399464, 74.696537, 74.076905, 73.575689, 73.084862, 72.599924, 72.694077, 72.084795, 71.217730, 70.402366, 69.355950, 67.891504, 67.048053, 67.033492, 64.336837
2023-03-11T19:50:00.000Z, 82.899360, 81.094856, 78.407190, 79.266263, 79.266989, 77.756616, 77.207915, 76.752912, 75.618395, 74.886405, 74.370560, 73.707375, 73.274574, 72.741869, 72.912908, 72.251053, 71.315964, 70.505353, 69.523594, 67.955445, 67.147894, 67.212362, 64.486540
2023-03-11T19:52:00.000Z, 83.099117, 81.184804, 78.589312, 79.545578, 79.821239, 78.197592, 76.675006, 76.085338, 75.653321, 75.037904, 74.201821, 73.687423, 73.064373, 72.650483, 72.809302, 72.142345, 71.271915, 70.419206, 69.381359, 67.832966, 67.144709, 67.157889, 64.360459
2023-03-11T19:54:00.000Z, 84.036976, 82.455924, 81.292925, 80.919824, 80.988630, 79.653088, 78.240219, 77.366980, 76.506344, 76.058747, 75.180232, 74.650207, 74.241596, 73.717360, 73.530210, 72.945957, 71.937335, 71.059685, 69.978120, 68.468854, 67.519953, 67.481437, 64.722581
