yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T20:36:00.000Z, 86.125215, 84.539100, 85.877228, 82.742599, 83.568974, 81.890533, 79.428391, 78.934097, 78.704968, 78.219454, 78.064199, 77.811261, 77.508504, 77.760181, 77.615250, 77.057857, 76.131623, 74.796312, 73.327292, 71.390249, 70.215606, 70.496262, 68.393706
2023-03-11T20:38:00.000Z, 84.818265, 83.856822, 84.121973, 81.712891, 82.474721, 81.115901, 79.048783, 78.985879, 78.621388, 78.128396, 77.879652, 77.742357, 77.237983, 77.256744, 76.552403, 75.871689, 74.992846, 73.921866, 72.930351, 71.360726, 70.242991, 70.529472, 68.440337
2023-03-11T20:40:00.000Z, 84.523578, 82.771457, 83.652001, 81.422062, 81.491554, 80.123277, 79.013612, 79.082659, 78.544758, 78.350797, 78.007946, 77.979705, 77.580131, 77.504986, 76.812638, 76.006157, 75.127371, 74.074217, 73.208612, 71.751397, 70.826399, 71.192383, 69.230147
2023-03-11T20:42:00.000Z, 86.101481, 84.100055, 85.504920, 82.215452, 82.251707, 81.245146, 79.222705, 79.154471, 78.828365, 78.453232, 78.274797, 78.084207, 77.816293, 77.626564, 76.923440, 76.204006, 75.326600, 74.305714, 73.351015, 72.090813, 71.061099, 71.521928, 69.539261
2023-03-11T20:44:00.000Z, 86.739310, 84.797729, 86.032418, 83.034858, 83.204965, 81.964910, 79.379124, 79.295527, 78.970404, 78.700586, 78.611811, 78.514404, 78.008849, 77.937101, 77.134126, 76.362032, 75.582903, 74.516115, 73.511769, 72.267334, 71.286267, 71.718997, 69.679075
2023-03-11T20:46:00.000Z, 86.924787, 84.926992, 84.893702, 82.866706, 81.949293, 81.099137, 78.847523, 78.756212, 78.821446, 78.418179, 78.314551, 77.999438, 77.723117, 77.400629, 76.697418, 75.923114, 75.141777, 74.105362, 73.229086, 72.002066, 71.079122, 71.516519, 69.508692
2023-03-11T20:48:00.000Z, 86.099052, 84.439734, 85.305640, 82.286673, 81.765442, 80.579500, 78.872905, 78.945358, 78.819124, 78.660659, 78.260653, 78.205050, 77.687186, 77.473116, 76.578637, 75.923817, 75.064462, 74.127573, 73.191352, 71.993324, 70.903728, 71.255971, 69.200435
2023-03-11T20:50:00.000Z, 85.225233, 82.436491, 80.633944, 80.359087, 79.882909, 79.630541, 78.921581, 78.990086, 78.975523, 78.678169, 78.469906, 78.062778, 77.613072, 77.219564, 76.447886, 75.749841, 74.949453, 73.944802, 73.064148, 71.805495, 70.692859, 70.999807, 68.996225
2023-03-11T20:52:00.000Z, 84.135257, 81.678930, 80.107085, 80.411123, 79.365516, 79.908709, 78.582734, 79.573954, 79.332887, 79.228760, 78.431257, 78.170835, 77.527954, 77.004512, 76.070042, 75.300065, 74.506714, 73.452408, 72.559827, 71.412309, 70.391841, 70.783598, 68.743505
2023-03-11T20:54:00.000Z, 84.594224, 81.883316, 80.264005, 80.401627, 79.699454, 80.011748, 78.980390, 80.332727, 79.323744, 79.004823, 78.605023, 78.421291, 77.655850, 77.162707, 76.356559, 75.528587, 74.724490, 73.683633, 72.823045, 71.688192, 70.459142, 70.829866, 68.847077
