yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T21:54:00.000Z, 88.328414, 90.813933, 92.392194, 89.767329, 90.142072, 89.094491, 85.612769, 82.989390, 82.992378, 82.827392, 82.894211, 82.926151, 82.954571, 84.381325, 84.987201, 83.932583, 82.821375, 80.954627, 79.562262, 77.040325, 75.059403, 74.272968, 71.218230
2023-03-11T21:56:00.000Z, 87.934175, 88.574594, 91.202624, 87.425731, 88.314350, 87.316226, 84.476390, 82.680207, 82.037008, 81.991281, 81.624527, 81.643573, 81.199332, 81.917384, 82.422905, 81.804452, 80.836810, 79.483174, 78.116197, 76.084811, 73.987787, 73.322860, 70.762958
2023-03-11T21:58:00.000Z, 89.127489, 90.493730, 92.027019, 88.836256, 89.833476, 87.283985, 83.898696, 82.584004, 82.660593, 82.234254, 81.862605, 81.881413, 81.504445, 81.807679, 82.207144, 81.415619, 80.480398, 79.262660, 78.131345, 76.197507, 74.292740, 73.651863, 71.158860
2023-03-11T22:00:00.000Z, 88.086710, 87.691773, 89.423400, 87.283463, 88.094771, 87.124147, 83.934475, 82.772076, 81.898361, 81.861721, 81.587641, 81.383321, 80.785767, 81.086417, 81.208412, 80.823786, 80.007070, 78.791186, 77.876057, 76.070158, 74.047684, 73.620475, 71.235530
2023-03-11T22:02:00.000Z, 86.831493, 85.387287, 85.351687, 84.043246, 84.724711, 85.306553, 83.585953, 82.503839, 82.044946, 81.932155, 81.585916, 81.286272, 80.846044, 80.871808, 81.016540, 80.596514, 79.788480, 78.624933, 77.670659, 76.071357, 74.084510, 73.623515, 71.261503
2023-03-11T22:04:00.000Z, 87.407540, 86.791959, 88.531600, 85.221236, 86.707794, 85.282327, 83.255003, 82.780993, 82.662007, 82.149342, 81.823141, 81.517541, 81.081532, 81.017130, 81.103582, 80.576215, 79.874854, 78.775083, 77.794259, 76.312224, 74.409447, 73.761666, 71.544113
2023-03-11T22:06:00.000Z, 86.501459, 85.964087, 87.756342, 85.934815, 86.979724, 87.048141, 84.105615, 83.017698, 83.071205, 82.420285, 81.794922, 81.489553, 81.138657, 81.329065, 81.152029, 80.478410, 79.770250, 78.518418, 77.598297, 76.084995, 74.249640, 73.709971, 71.436410
2023-03-11T22:08:00.000Z, 85.600298, 83.378585, 82.227760, 82.175205, 82.375150, 82.797300, 82.195795, 82.167306, 81.944276, 81.806697, 81.388006, 81.099583, 80.611043, 80.554671, 80.722776, 80.224611, 79.499357, 78.454474, 77.453434, 76.007809, 74.195463, 73.579918, 71.375196
2023-03-11T22:10:00.000Z, 85.553144, 82.658317, 80.957941, 80.581120, 81.656779, 81.530055, 81.371438, 82.248920, 82.218063, 81.575337, 81.093262, 80.733115, 80.233330, 80.227984, 80.350006, 79.958009, 79.324879, 78.254289, 77.373996, 75.924596, 74.070826, 73.581299, 71.261241
2023-03-11T22:12:00.000Z, 85.457554, 82.933861, 81.003790, 80.825117, 81.201185, 81.211522, 81.055516, 81.068638, 81.082952, 80.948369, 80.574890, 80.340136, 79.815138, 79.757881, 79.879534, 79.504804, 78.852327, 77.847514, 76.927189, 75.540545, 73.702472, 73.138155, 70.907342
2023-03-11T22:14:00.000Z, 84.998194, 82.708657, 80.532083, 79.883778, 80.642220, 80.496745, 80.239744, 80.635469, 80.301812, 80.336187, 80.187476, 79.682328, 79.488712, 79.345037, 79.406587, 79.052702, 78.369244, 77.362794, 76.399808, 75.027225, 73.220903, 72.710287, 70.467490
2023-03-11T22:16:00.000Z, 85.001650, 82.159760, 80.304329, 79.616290, 80.710694, 81.467208, 80.553146, 80.224448, 80.135468, 80.115773, 79.923886, 79.386120, 78.968324, 78.903301, 79.005644, 78.576692, 77.925257, 76.842466, 75.993377, 74.560597, 72.739286, 72.229116, 69.956564
2023-03-11T22:18:00.000Z, 85.372461, 83.469899, 83.643117, 81.957311, 82.778376, 82.305641, 81.435908, 81.192306, 80.588784, 80.445048, 80.237300, 79.709559, 79.228247, 78.815851, 78.775539, 78.323565, 77.639124, 76.577723, 75.650600, 74.312725, 72.434353, 71.865948, 69.657486
2023-03-11T22:20:00.000Z, 86.548125, 84.525781, 85.605702, 83.431252, 83.558614, 83.600371, 81.687288, 81.567729, 80.679709, 80.211078, 79.816126, 79.312841, 78.939573, 78.855770, 78.759421, 78.036756, 77.271477, 76.219138, 75.304680, 73.968450, 72.043400, 71.444294, 69.217019
2023-03-11T22:22:00.000Z, 86.343203, 84.104178, 83.357310, 83.111845, 83.029758, 81.485589, 80.090104, 80.194409, 79.720080, 79.411631, 78.860893, 78.472545, 78.200536, 78.112727, 78.199978, 77.653482, 76.904285, 75.782087, 74.907913, 73.552376, 71.735099, 71.065656, 68.849481
2023-03-11T22:24:00.000Z, 86.950420, 85.308871, 84.554511, 84.280822, 84.410159, 83.134963, 81.096294, 80.947398, 79.860068, 79.143846, 78.632898, 78.380300, 77.941130, 77.792202, 77.790776, 77.234829, 76.494321, 75.392523, 74.442221, 73.098405, 71.335388, 70.732975, 68.460853
2023-03-11T22:26:00.000Z, 86.451849, 84.660815, 82.755465, 82.349846, 81.784034, 81.828057, 80.572520, 80.148519, 79.654716, 79.145748, 78.815715, 78.535458, 78.059024, 77.904716, 77.947232, 77.499985, 76.743294, 75.660629, 74.763721, 73.502653, 71.515819, 70.833398, 68.602468
2023-03-11T22:28:00.000Z, 86.397070, 85.070048, 83.942284, 82.771610, 82.005548, 81.064245, 80.099570, 79.836365, 79.592856, 79.375478, 78.684238, 78.136846, 77.797807, 77.487655, 77.634443, 77.162379, 76.476613, 75.425464, 74.546336, 73.153881, 71.389861, 70.744276, 68.597664
