yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-16T18:30:00.000Z, 105.147612, 103.586491, 99.212997, 91.355715, 92.465787, 92.444846, 91.935680, 88.589849, 85.834872, 84.109032, 79.887928, 78.470279, 77.312104, 76.872282, 77.445636, 77.661595, 75.637983, 74.204899, 72.220753, 69.958755, 67.217182, 64.439800, 59.839066
2023-03-16T18:32:00.000Z, 108.763846, 107.676935, 104.682873, 96.195048, 93.436729, 91.121660, 94.506418, 91.931848, 88.886710, 86.985945, 82.254480, 76.682839, 74.621132, 74.825503, 74.111841, 74.141597, 72.333965, 70.780627, 68.395764, 66.039064, 63.136951, 60.608908, 57.315430
2023-03-16T18:34:00.000Z, 108.330310, 106.456570, 102.202536, 94.583726, 93.050592, 91.150681, 94.575284, 90.878221, 87.320880, 86.022289, 82.300006, 77.167968, 75.204691, 75.476543, 73.798772, 72.982701, 70.675425, 68.660967, 66.428471, 63.914491, 61.438172, 59.316822, 56.759215
2023-03-16T18:36:00.000Z, 109.484232, 107.719361, 105.277931, 97.688450, 94.931046, 91.877264, 96.056805, 93.067045, 90.324081, 88.737473, 84.007531, 78.153526, 76.964768, 76.839463, 74.497475, 73.256376, 71.029498, 68.611852, 66.026769, 63.656395, 62.262463, 60.970440, 57.620760
2023-03-16T18:38:00.000Z, 109.300761, 107.192732, 104.740298, 97.059995, 92.941250, 92.013054, 95.612465, 92.700589, 89.386461, 88.254431, 84.580481, 78.358196, 77.143358, 77.590398, 74.405339, 72.821832, 70.187756, 67.187301, 64.534894, 61.910415, 60.574030, 59.659493, 57.229681
2023-03-16T18:40:00.000Z, 109.752179, 108.159597, 105.539477, 97.692091, 92.261507, 92.233455, 95.933036, 92.932928, 89.958251, 88.584581, 83.537357, 77.400474, 76.650477, 75.341680, 73.206618, 71.181998, 69.248002, 66.618359, 64.131196, 61.590060, 59.690133, 59.115325, 57.280189
2023-03-16T18:42:00.000Z, 109.876514, 107.699324, 105.001564, 97.535582, 91.716575, 91.908803, 95.712696, 92.864211, 89.535369, 88.597250, 83.465413, 77.722527, 75.623342, 75.313223, 72.647406, 70.056452, 67.815818, 65.407966, 62.963370, 60.841516, 59.344267, 59.069652, 57.238379
2023-03-16T18:44:00.000Z, 106.499242, 104.959994, 101.217821, 93.147844, 89.434104, 90.343449, 93.044259, 90.394086, 86.956593, 85.899229, 80.898015, 76.743458, 74.683885, 74.155500, 72.104913, 69.383787, 67.212468, 65.035713, 62.690962, 60.622715, 59.531084, 58.859108, 57.165418
2023-03-16T18:46:00.000Z, 108.431936, 106.853367, 102.893552, 93.906014, 88.515909, 90.339599, 94.190504, 91.258853, 88.148174, 86.376503, 81.999020, 77.650427, 76.142576, 75.869427, 72.376755, 68.973826, 66.888152, 64.746591, 62.436268, 60.150240, 58.983819, 58.882391, 57.166778
2023-03-16T18:48:00.000Z, 108.538661, 107.062327, 102.997351, 95.321546, 89.585511, 91.252796, 95.552622, 91.666548, 88.924443, 87.691902, 83.096716, 77.401014, 75.203921, 74.647834, 72.277370, 69.431948, 67.115917, 64.474150, 61.956837, 60.156631, 58.909440, 58.830663, 57.189523
