yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T19:00:00.000Z, 83.769744, 91.847377, 91.770545, 88.924126, 91.320259, 89.878174, 85.810266, 81.307819, 79.816174, 78.629511, 78.379834, 79.593749, 81.699847, 85.795185, 87.682552, 87.950470, 86.539803, 84.761982, 82.944634, 80.779036, 79.102055, 78.570660, 75.957066
2023-03-11T19:02:00.000Z, 82.533369, 89.200487, 90.021922, 85.969784, 89.216332, 88.093694, 81.833618, 78.226927, 76.407377, 75.123644, 75.367863, 75.510264, 75.015265, 76.984323, 77.581994, 77.050109, 76.291348, 75.540198, 74.411686, 72.338985, 70.001292, 68.809818, 65.522366
2023-03-11T19:04:00.000Z, 82.533192, 87.988916, 87.521369, 83.212237, 84.123615, 83.509963, 79.699404, 76.174049, 74.759949, 74.001891, 73.468715, 74.053482, 73.596370, 74.002728, 73.769503, 72.886391, 71.926682, 70.716902, 69.681516, 67.709330, 66.248778, 65.314000, 62.827696
2023-03-11T19:06:00.000Z, 81.483283, 86.700571, 87.113462, 83.966267, 85.263607, 83.394286, 79.412653, 75.250664, 73.554481, 73.042653, 72.824042, 72.953904, 72.814257, 73.390157, 72.168340, 71.379387, 70.880007, 69.706727, 68.500277, 67.029972, 65.574111, 65.200201, 62.754435
2023-03-11T19:08:00.000Z, 80.374670, 85.912713, 86.694675, 83.372272, 85.220229, 83.525783, 79.550281, 75.884019, 74.603086, 73.462550, 72.787976, 72.942086, 72.523375, 72.660577, 71.848845, 70.918712, 69.800556, 68.963404, 68.131231, 66.797155, 65.524861, 65.158221, 62.877016
2023-03-11T19:10:00.000Z, 80.012335, 83.974254, 84.111273, 80.864084, 84.052406, 82.703751, 80.504545, 76.515035, 74.232636, 73.625722, 73.388788, 74.266335, 73.856663, 73.999705, 72.529788, 71.486468, 70.119063, 68.839159, 67.841488, 66.638515, 65.344873, 65.076841, 62.854085
2023-03-11T19:12:00.000Z, 80.165999, 84.168464, 83.491298, 80.862484, 82.169646, 80.862090, 77.477775, 75.533643, 73.951681, 73.028515, 72.732256, 73.305465, 73.018464, 73.244368, 72.376807, 71.025003, 69.932854, 68.794153, 67.818350, 66.592373, 65.422310, 65.183970, 62.970472
2023-03-11T19:14:00.000Z, 80.677165, 82.115614, 81.155038, 77.581125, 77.634282, 76.372488, 74.100011, 73.498937, 72.388222, 72.092099, 71.870988, 71.851247, 71.675808, 71.594605, 71.267263, 70.297661, 69.383551, 68.442535, 67.614143, 66.361221, 65.179043, 64.943958, 62.755862
2023-03-11T19:16:00.000Z, 80.485137, 78.175815, 75.999696, 73.692639, 74.004946, 73.525199, 73.158377, 72.830113, 72.018422, 71.684912, 71.441409, 70.712410, 70.782946, 70.323075, 70.052554, 69.050972, 68.350372, 67.636156, 67.122689, 66.154820, 65.111655, 64.917231, 62.713098
2023-03-11T19:18:00.000Z, 80.238365, 76.896105, 75.054819, 72.706269, 72.949236, 72.823061, 71.982949, 71.727527, 70.859172, 71.247245, 70.748335, 70.247270, 70.175980, 70.018180, 69.675096, 68.944721, 68.261432, 67.550735, 67.085557, 66.109619, 65.034180, 64.890485, 62.776351
2023-03-11T19:20:00.000Z, 79.175995, 76.697354, 74.854023, 73.195026, 73.416986, 73.061416, 72.191009, 72.051860, 70.704805, 70.769971, 70.465090, 70.223168, 70.353028, 70.096475, 69.648568, 68.866461, 68.292856, 67.571973, 67.051380, 66.089890, 64.950941, 64.849439, 62.664839
2023-03-11T19:22:00.000Z, 78.516059, 76.477402, 74.627104, 73.215358, 73.087304, 72.648426, 72.302656, 72.098738, 71.096541, 70.907689, 70.633300, 70.613448, 70.418151, 70.175594, 69.790882, 68.915206, 68.403733, 67.629589, 67.177015, 66.269864, 65.242092, 65.058826, 62.952383
