yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T21:30:00.000Z, 88.686741, 88.565185, 90.229604, 87.021836, 86.409350, 87.032592, 85.245702, 86.046336, 84.891295, 84.610844, 82.972703, 82.706390, 82.099978, 82.220086, 81.845174, 81.136835, 80.144433, 79.070776, 77.872834, 76.165451, 74.810094, 73.912000, 71.089812
2023-03-11T21:32:00.000Z, 87.452007, 87.449110, 88.217483, 85.786221, 86.462389, 86.183560, 84.882144, 84.273706, 83.550549, 83.225396, 82.417711, 81.950513, 81.566849, 81.649877, 81.124711, 80.377382, 79.517209, 78.669600, 77.731666, 76.319560, 74.937564, 74.243413, 71.631011
2023-03-11T21:34:00.000Z, 88.178950, 87.710321, 89.413216, 86.192887, 85.862697, 85.911018, 84.203796, 83.687325, 83.413265, 82.683259, 82.165232, 81.639285, 81.112453, 81.025985, 80.488562, 79.641107, 78.828341, 78.101502, 77.232096, 75.789461, 74.627846, 73.952266, 71.398745
2023-03-11T21:36:00.000Z, 90.642246, 89.422402, 90.762627, 87.994297, 86.257688, 86.157496, 84.362754, 84.449164, 83.257114, 82.739466, 82.242356, 81.715944, 81.222153, 81.248460, 80.660096, 80.032779, 79.161857, 78.181782, 77.307896, 75.963633, 74.689352, 73.919587, 71.346413
2023-03-11T21:38:00.000Z, 89.672110, 87.734923, 90.898422, 87.816108, 88.156392, 87.994570, 85.454110, 84.413637, 83.609944, 82.775276, 82.247046, 81.913802, 81.456090, 81.351626, 80.803982, 79.990732, 79.132034, 78.169118, 77.367853, 76.040709, 74.820412, 74.174034, 71.676724
2023-03-11T21:40:00.000Z, 88.252798, 87.795904, 89.160249, 87.005545, 87.843886, 86.602758, 84.453692, 84.966620, 84.409144, 82.489922, 82.191698, 81.977049, 81.453100, 81.293530, 80.601327, 79.778945, 78.924668, 77.945046, 77.293559, 75.856554, 74.702782, 74.095453, 71.628246
2023-03-11T21:42:00.000Z, 89.037521, 86.496607, 85.570543, 84.087060, 83.583715, 83.608097, 83.330753, 84.369766, 83.317638, 83.040300, 82.075614, 81.541371, 81.015132, 80.857432, 80.175581, 79.282876, 78.493461, 77.627520, 77.116555, 75.724912, 74.630834, 74.081241, 71.642498
2023-03-11T21:44:00.000Z, 87.912562, 85.629189, 84.880647, 84.594608, 84.855257, 86.012183, 84.637905, 85.377269, 84.334168, 83.508236, 82.436913, 81.857146, 81.151930, 80.843024, 80.208067, 79.302778, 78.607703, 77.746434, 77.262226, 75.928106, 74.841155, 74.240828, 71.826251
2023-03-11T21:46:00.000Z, 85.770425, 84.474399, 83.107085, 82.233954, 82.411700, 82.936972, 82.241348, 83.354495, 82.269250, 81.997731, 81.393856, 81.046205, 80.751808, 80.616047, 80.122620, 79.026292, 78.438315, 77.601146, 77.116271, 75.761643, 74.684655, 74.184873, 71.703371
2023-03-11T21:48:00.000Z, 85.165527, 83.019418, 81.678856, 81.422028, 81.818434, 82.311431, 81.762659, 82.361926, 81.673414, 81.677598, 81.120195, 80.835923, 80.604694, 80.549405, 80.011383, 79.095828, 78.297865, 77.507270, 77.050292, 75.707049, 74.620530, 74.067196, 71.647191
